Question Number,Question Name,Array,Difficulty,Completed,Solution Notes,Runtime,Description
18, Insert Interval,Intervals,Medium,X,"Add newInterval, sort by start value, remove overlapping intervals. Use extra space for answer. Can do in O(N) with extra space.",O(nLog(n)),"Insert Interval - You are given an array of non-overlapping intervals intervals where intervals[i] = [starti, endi] represent the start and the end of the ith interval and intervals is sorted in ascending order by starti. You are also given an interval newInterval = [start, end] that represents the start and end of another interval.

Insert newInterval into intervals such that intervals is still sorted in ascending order by starti and intervals still does not have any overlapping intervals (merge overlapping intervals if necessary).

Return intervals after the insertion."
72, Non-overlapping Intervals,Intervals,Medium,X,"Sort intervals by start time, for each check if previous end is after curr start, If so add 1 to ans then update curr end time to be least of prev and curr.",O(nLog(n)),"Non-overlapping Intervals - Given an array of intervals intervals where intervals[i] = [starti, endi], return the minimum number of intervals you need to remove to make the rest of the intervals non-overlapping."
6, Remove Nth Node From End of List,Linked List,Easy,X,Fast pointer advance to N nodes ahead. Advance slow pointer and fast pointer until fast pointer hits null. Then skip next node on slow.,O(N),"Remove Nth Node From End of List - Given the head of a linked list, remove the nth node from the end of the list and return its head."
8, Merge Two Sorted Lists,Linked List,Medium,X,"Create new empty list, while both lists add smaller element then add rest of nonempty list.",O(N+M),"Merge Two Sorted Lists - You are given the heads of two sorted linked lists list1 and list2.

Merge the two lists in a one sorted list. The list should be made by splicing together the nodes of the first two lists.

Return the head of the merged linked list."
9, Merge k Sorted Lists,Linked List,Hard,X,Divide and conquer using merge 2 sorted lists,O(Nlog(k)),"Merge k Sorted Lists - You are given an array of k linked-lists lists, each linked-list is sorted in ascending order.

Merge all the linked-lists into one sorted linked-list and return it."
36, Linked List Cycle,Linked List,Medium,X,"Use fast and slow pointer, if equal return cycle, if one pointer null return no cycle",O(N),"Linked List Cycle - Given head, the head of a linked list, determine if the linked list has a cycle in it.

There is a cycle in a linked list if there is some node in the list that can be reached again by continuously following the next pointer. Internally, pos is used to denote the index of the node that tail's next pointer is connected to. Note that pos is not passed as a parameter.

Return true if there is a cycle in the linked list. Otherwise, return false."
37, Reorder List,Linked List,Medium,,,,"Reorder List - You are given the head of a singly linked-list. The list can be represented as:


L0 → L1 → … → Ln - 1 → Ln


Reorder the list to be on the following form:


L0 → Ln → L1 → Ln - 1 → L2 → Ln - 2 → …


You may not modify the values in the list's nodes. Only nodes themselves may be changed."
44, Reverse Linked List,Linked List,Easy,X,"Prev=None, cur=head. While cur: next = cur.next, cur.next=prev, prev=cur, cur=next. Return prev",O(N),"Reverse Linked List - Given the head of a singly linked list, reverse the list, and return the reversed list."
12, Rotate Image,Matrix,Medium,,,,"Rotate Image - You are given an n x n 2D matrix representing an image, rotate the image by 90 degrees (clockwise).

You have to rotate the image in-place [https://en.wikipedia.org/wiki/In-place_algorithm], which means you have to modify the input 2D matrix directly. DO NOT allocate another 2D matrix and do the rotation."
15, Spiral Matrix,Matrix,Medium,,,,"Spiral Matrix - Given an m x n matrix, return all elements of the matrix in spiral order."
21, Set Matrix Zeroes,Matrix,Medium,,,,"Set Matrix Zeroes - Given an m x n integer matrix matrix, if an element is 0, set its entire row and column to 0's.

You must do it in place [https://en.wikipedia.org/wiki/In-place_algorithm]."
23, Word Search,String,Hard,,,,"Word Search - Given an m x n grid of characters board and a string word, return true if word exists in the grid.

The word can be constructed from letters of sequentially adjacent cells, where adjacent cells are horizontally or vertically neighboring. The same letter cell may not be used more than once."
7, Valid Parentheses,String,Easy,X,"Use stack to keep track of opening, if closing not top of stack return false. If stack not empty at end return false. Use dictionary to map openning/closing",O(N),"Valid Parentheses - Given a string s containing just the characters '(', ')', '{', '}', '[' and ']', determine if the input string is valid.

An input string is valid if:

 1. Open brackets must be closed by the same type of brackets.
 2. Open brackets must be closed in the correct order.
 3. Every close bracket has a corresponding open bracket of the same type."
13, Group Anagrams,String,Medium,X,Use unique prime for each char in each string. Find product and use as key of hashmap for each group,O(N*M),"Group Anagrams - Given an array of strings strs, group the anagrams together. You can return the answer in any order.

An Anagram is a word or phrase formed by rearranging the letters of a different word or phrase, typically using all the original letters exactly once."
22, Minimum Window Substring,String,Medium,,,,"Minimum Window Substring - Given two strings s and t of lengths m and n respectively, return the minimum window substring of s such that every character in t (including duplicates) is included in the window. If there is no such substring, return the empty string """".

The testcases will be generated such that the answer is unique."
56, Valid Anagram,String,Medium,X,"Create hashmap with all chars from first string and their count, remove them for each occurance in second string if hashmap empty return false. If char not in hashmap return false",O(N+M),"Valid Anagram - Given two strings s and t, return true if t is an anagram of s, and false otherwise.

An Anagram is a word or phrase formed by rearranging the letters of a different word or phrase, typically using all the original letters exactly once."
71, Longest Repeating Character Replacement,String,Medium,X,"Dict of freq of chars, keep l, r pointer. Move r constantly, add r char to freq, if freq-l+r+1>k move l otherwise don’t, take max of ans and r-l+1.",O(N),"Longest Repeating Character Replacement - You are given a string s and an integer k. You can choose any character of the string and change it to any other uppercase English character. You can perform this operation at most k times.

Return the length of the longest substring containing the same letter you can get after performing the above operations."
75, Palindromic Substrings,"String, Sliding Window",Medium,X,Def function to count palandroms starting from center. Call function on each char in string and take sum of all results.,O(N^2),"Palindromic Substrings - Given a string s, return the number of palindromic substrings in it.

A string is a palindrome when it reads the same backward as forward.

A substring is a contiguous sequence of characters within the string."
2, Longest Substring Without Repeating Characters,Topic,Easy,X,"Map for last time each char was used, loop through string and if char used more recently than start of current substring move start to last use of char + 1, update longest if needed",O(N),"Longest Substring Without Repeating Characters - Given a string s, find the length of the longest substring without repeating characters."
25, Validate Binary Search Tree,Tree,Easy,X,"If not node return True. Else set min and max vals to None and if val is out of min, max, return false otherwise recursively call left and right changing min and max ",O(N),"Validate Binary Search Tree - Given the root of a binary tree, determine if it is a valid binary search tree (BST).

A valid BST is defined as follows:

 * The left subtree of a node contains only nodes with keys less than the node's key.
 * The right subtree of a node contains only nodes with keys greater than the node's key.
 * Both the left and right subtrees must also be binary search trees."
26, Same Tree,Tree,Easy,X,"Use dfs to check if each node is the same in both tree. Dfs should take 2 nodes, one from each tree.",O(N),"Same Tree - Given the roots of two binary trees p and q, write a function to check if they are the same or not.

Two binary trees are considered the same if they are structurally identical, and the nodes have the same value."
27, Binary Tree Level Order Traversal,Tree,Medium,X,Use bfs but don’t update q with children until q is empty. Use separate array to store curr next and nextLevel,O(N),"Binary Tree Level Order Traversal - Given the root of a binary tree, return the level order traversal of its nodes' values. (i.e., from left to right, level by level)."
28, Maximum Depth of Binary Tree,Tree,Easy,X,If root is none return 0 otherwise return 1+max of recursive call of left and right node.,O(N),"Maximum Depth of Binary Tree - Given the root of a binary tree, return its maximum depth.

A binary tree's maximum depth is the number of nodes along the longest path from the root node down to the farthest leaf node."
29, Construct Binary Tree from Preorder and Inorder Traversal,Tree,Hard,,,,"Construct Binary Tree from Preorder and Inorder Traversal - Given two integer arrays preorder and inorder where preorder is the preorder traversal of a binary tree and inorder is the inorder traversal of the same tree, construct and return the binary tree."
31, Binary Tree Maximum Path Sum,Tree,Hard,,,,"Binary Tree Maximum Path Sum - A path in a binary tree is a sequence of nodes where each pair of adjacent nodes in the sequence has an edge connecting them. A node can only appear in the sequence at most once. Note that the path does not need to pass through the root.

The path sum of a path is the sum of the node's values in the path.

Given the root of a binary tree, return the maximum path sum of any non-empty path."
46, Implement Trie (Prefix Tree),Tree,Medium,X,"Create TrieNode class with map children and boolean endWord. Insert each char and add TrieNode if not in children, mark end of word. Search children by children",X,Level up your coding skills and quickly land a job. This is the best place to expand your knowledge and get prepared for your next interview.
47, Design Add and Search Words Data Structure,Tree,Medium,X,Create TrieNode class. Add word like Implement Trie. Search if '.' for all children of node call,Add O(all letters of all words) SearchO(height) for no .,"Design Add and Search Words Data Structure - Design a data structure that supports adding new words and finding if a string matches any previously added string.

Implement the WordDictionary class:

 * WordDictionary() Initializes the object.
 * void addWord(word) Adds word to the data structure, it can be matched later.
 * bool search(word) Returns true if there is any string in the data structure that matches word or false otherwise. word may contain dots '.' where dots can be matched with any letter."
48, Word Search II,Tree,Medium,,,,"Word Search II - Given an m x n board of characters and a list of strings words, return all words on the board.

Each word must be constructed from letters of sequentially adjacent cells, where adjacent cells are horizontally or vertically neighboring. The same letter cell may not be used more than once in a word."
51, Invert Binary Tree,Tree,Medium,X,"Set root.right to self.invertTree(right,left) and vica versa",O(N),"Invert Binary Tree - Given the root of a binary tree, invert the tree, and return its root."
52, Kth Smallest Element in a BST,Tree,Medium,,,,"Kth Smallest Element in a BST - Given the root of a binary search tree, and an integer k, return the kth smallest value (1-indexed) of all the values of the nodes in the tree."
53, Lowest Common Ancestor of a Binary Search Tree,Tree,Easy,X,If q/p of different sides of root return root else move down. If root = p or q return p or q.,O(H),"Lowest Common Ancestor of a Binary Search Tree - Given a binary search tree (BST), find the lowest common ancestor (LCA) node of two given nodes in the BST.

According to the definition of LCA on Wikipedia [https://en.wikipedia.org/wiki/Lowest_common_ancestor]: “The lowest common ancestor is defined between two nodes p and q as the lowest node in T that has both p and q as descendants (where we allow a node to be a descendant of itself).”"
54, Lowest Common Ancestor of a Binary Tree,Tree,Medium,X,"Use dfs, if node then check left and right trees if 2 of curr, left or right are targets then curr node is ans, else if one of them return true else return false. Use var to store ans with init.",O(N),"Lowest Common Ancestor of a Binary Tree - Given a binary tree, find the lowest common ancestor (LCA) of two given nodes in the tree.

According to the definition of LCA on Wikipedia [https://en.wikipedia.org/wiki/Lowest_common_ancestor]: “The lowest common ancestor is defined between two nodes p and q as the lowest node in T that has both p and q as descendants (where we allow a node to be a descendant of itself).”"
73, Serialize and Deserialize BST,Tree,Medium,,,,"Serialize and Deserialize BST - Serialization is converting a data structure or object into a sequence of bits so that it can be stored in a file or memory buffer, or transmitted across a network connection link to be reconstructed later in the same or another computer environment.

Design an algorithm to serialize and deserialize a binary search tree. There is no restriction on how your serialization/deserialization algorithm should work. You need to ensure that a binary search tree can be serialized to a string, and this string can be deserialized to the original tree structure.

The encoded string should be as compact as possible."
74, Subtree of Another Tree,Tree,Easy,X,Function checks if each tree =  subtree recursively. Call sameTree function recursively on all nodes of tree.,O(T*ST),"Subtree of Another Tree - Given the roots of two binary trees root and subRoot, return true if there is a subtree of root with the same structure and node values of subRoot and false otherwise.

A subtree of a binary tree tree is a tree that consists of a node in tree and all of this node's descendants. The tree tree could also be considered as a subtree of itself."
32, Valid Palindrome,Two Pointer,Easy,X,while left < right the check if char is alnum in while loop and if chars don’t match return false else change r/l.,O(N),"Valid Palindrome - A phrase is a palindrome if, after converting all uppercase letters into lowercase letters and removing all non-alphanumeric characters, it reads the same forward and backward. Alphanumeric characters include letters and numbers.

Given a string s, return true if it is a palindrome, or false otherwise."
